Date,Suburb,State,Postcode,Beds,Baths,Cars,Land,Type,SaleType,Median price,Price,latitude,longitude,dist_to_cbd
16/05/2025,TOOWOOMBA CITY,QLD,4350,4,2,2,455,House,PRIVATE TREATY,670000,725000,-27.5607807,151.9453076,107.00871
16/05/2025,INGLE FARM,SA,5098,3,1,3,660,House,AUCTION,495000,725000,-34.825182,138.6499592,12.30788926
17/05/2025,LOGANLEA,QLD,4131,4,2,2,894,House,AUCTION,670000,725000,-27.675527,153.1327455,25.30461498
19/05/2025,BUNGADOO,QLD,4671,4,2,7,,House,PRIVATE TREATY,670000,725000,-25.0026462,152.0778175,289.1194483
19/05/2025,PACIFIC PINES,QLD,4211,3,2,2,175,Townhouse,PRIVATE TREATY,670000,725000,-27.9346409,153.3102173,58.84454206
19/05/2025,WELLARD,WA,6170,3,2,2,393,House,PRIVATE TREATY,505000,725000,-32.2623271,115.8602796,33.97968709
21/05/2025,HAMILTON,NSW,2303,2,1,1,295,House,PRIVATE TREATY,752000,725000,-32.9181614,151.7444345,116.744665
21/05/2025,CRANBOURNE,VIC,3977,3,2,2,626,House,PRIVATE TREATY,550000,725000,-38.100804,145.2843738,42.52635211
21/05/2025,HASTINGS,VIC,3915,3,1,2,724,House,PRIVATE TREATY,550000,725000,-38.3151053,145.1871472,58.96637888
21/05/2025,INVERLOCH,VIC,3996,2,1,2,586,House,PRIVATE TREATY,550000,725000,-38.6326689,145.7400455,113.4916164
21/05/2025,MOUNT LAWLEY,WA,6050,1,1,1,254,House,PRIVATE TREATY,505000,725000,-31.9289729,115.8768356,3.357953722
22/05/2025,WARRAWONG,NSW,2502,3,1,1,514,House,PRIVATE TREATY,752000,725000,-34.4807159,150.8816563,74.1511357
22/05/2025,WYONG,NSW,2259,3,2,1,,Semidetached,PRIVATE TREATY,752000,725000,-33.2764955,151.4255481,68.83300859
22/05/2025,HOPPERS CROSSING,VIC,3029,3,2,1,559,House,PRIVATE TREATY,550000,725000,-37.8485716,144.6774783,25.43755634
22/05/2025,OFFICER,VIC,3809,3,2,2,223,House,PRIVATE TREATY,550000,725000,-38.0765058,145.4290669,50.24282675
23/05/2025,LYNDHURST,VIC,3975,3,2,2,331,House,PRIVATE TREATY,550000,725000,-38.0762136,145.243302,38.10198663
23/05/2025,SUNBURY,VIC,3429,3,2,3,650,House,PRIVATE TREATY,550000,725000,-37.5915036,144.7093962,33.34714182
23/05/2025,BALDIVIS,WA,6171,3,2,2,439,House,PRIVATE TREATY,505000,725000,-32.3514592,115.8002391,44.23151265
29/05/2025,BELLAMACK,NT,832,4,2,2,805,House,PRIVATE TREATY,460000,725000,-12.5127627,130.9861642,16.80317129
10/06/2025,WULAGI,NT,812,3,1,2,746,House,PRIVATE TREATY,460000,725000,-12.3850401,130.8922244,10.02691508
15/06/2025,MUIRHEAD,NT,810,3,2,2,499,House,PRIVATE TREATY,460000,725000,-12.3652718,130.8970283,12.16109525
25/06/2025,CASEY,ACT,2913,3,2,1,221,Semidetached,PRIVATE TREATY,980000,725000,-35.1734641,149.0942088,13.78618278
25/06/2025,SCULLIN,ACT,2614,3,1,2,305,House,PRIVATE TREATY,980000,725000,-35.229639,149.0353861,9.63189992
